Resource;Type;Concepts
Brainstroming;Video;#Brainstorming #Train of thoughts #idea-finding #fact-finding #solution-finding
Warum Brainstorming Gruppenkreativität Vermindert_Stroebe & Nijstad (2004);Resource;#SIAM Theory #Production blockage #Brain writing #Problems with Brainstorming #Learning processes
Cognitive Stimulation Interference_Stroebe & Nijstad (2004);Resource;#Associative Memory #Cognitive processes #Clustering #Stimulation #Illusion of Group Effectivity #Cognitive stimulation #SIAM Theory
